t;t_sec;Tamb;PV1;PV2;PV3;SP;PV_prom
Mon Jan 13 17:21:39 2020;215.085;26.405;64.096;63.499;63.832;70.000;63.536
Mon Jan 13 17:21:40 2020;215.901;26.403;64.096;63.499;63.994;70.000;63.693
Mon Jan 13 17:21:41 2020;216.701;26.401;64.251;63.656;64.150;70.000;63.854
Mon Jan 13 17:21:42 2020;217.517;26.399;64.396;63.809;64.300;70.000;64.010
Mon Jan 13 17:21:42 2020;218.317;26.399;64.396;63.809;64.300;70.000;64.010
Mon Jan 13 17:21:43 2020;219.133;26.397;64.562;63.969;64.461;70.000;64.161
Mon Jan 13 17:21:44 2020;219.933;26.395;64.713;64.139;64.629;70.000;64.323
Mon Jan 13 17:21:45 2020;220.750;26.393;64.870;64.287;64.775;70.000;64.427
Mon Jan 13 17:21:46 2020;221.550;26.393;64.870;64.287;64.775;70.000;64.484
Mon Jan 13 17:21:46 2020;222.366;26.390;65.023;64.440;64.928;70.000;64.635
Mon Jan 13 17:21:47 2020;223.165;26.388;65.184;64.594;65.080;70.000;64.792
Mon Jan 13 17:21:48 2020;223.982;26.388;65.312;64.594;65.080;70.000;64.792
Mon Jan 13 17:21:49 2020;224.781;26.386;65.312;64.736;65.218;70.000;64.948
Mon Jan 13 17:21:50 2020;225.598;26.384;65.483;64.893;65.375;70.000;65.078
Mon Jan 13 17:21:51 2020;226.413;26.383;65.600;65.030;65.509;70.000;65.245
Mon Jan 13 17:21:51 2020;227.214;26.383;65.600;65.030;65.509;70.000;65.245
Mon Jan 13 17:21:52 2020;228.029;26.383;65.773;65.188;65.665;70.000;65.370
Mon Jan 13 17:21:53 2020;228.829;26.380;65.886;65.337;65.812;70.000;65.536
Mon Jan 13 17:21:54 2020;229.645;26.378;66.071;65.490;65.966;70.000;65.620
Mon Jan 13 17:21:55 2020;230.446;26.378;66.071;65.490;65.966;70.000;65.667
Mon Jan 13 17:21:55 2020;231.261;26.376;66.200;65.630;66.103;70.000;65.833
Mon Jan 13 17:21:56 2020;232.062;26.375;66.345;65.774;66.246;70.000;65.969
Mon Jan 13 17:21:57 2020;232.877;26.375;66.473;65.774;66.246;70.000;65.969
Mon Jan 13 17:21:58 2020;233.678;26.373;66.473;65.912;66.382;70.000;66.115
Mon Jan 13 17:21:59 2020;234.493;26.372;66.635;66.062;66.532;70.000;66.250
Mon Jan 13 17:21:59 2020;235.294;26.370;66.764;66.202;66.670;70.000;66.401
Mon Jan 13 17:22:00 2020;236.109;26.370;66.764;66.202;66.670;70.000;66.401
Mon Jan 13 17:22:01 2020;236.910;26.369;66.884;66.333;66.798;70.000;66.531
Mon Jan 13 17:22:02 2020;237.725;26.369;67.061;66.495;66.958;70.000;66.667
Mon Jan 13 17:22:03 2020;238.541;26.368;67.167;66.617;67.079;70.000;66.776
Mon Jan 13 17:22:03 2020;239.341;26.368;67.167;66.617;67.079;70.000;66.828
Mon Jan 13 17:22:04 2020;240.157;26.368;67.321;66.760;67.219;70.000;66.948
Mon Jan 13 17:22:05 2020;240.957;26.367;67.431;66.882;67.337;70.000;67.094
Mon Jan 13 17:22:06 2020;241.773;26.367;67.431;66.882;67.337;70.000;67.094
Mon Jan 13 17:22:07 2020;242.574;26.366;67.573;67.020;67.473;70.000;67.208
